"code","mini_code","nom","module_reference","description","reference"
"C.162","","Pédagogie active","DWB-M105","","DWB-M105-C.162"
"C.122","","Construire l’interface","DWB-M108","Interpréter une conception structurer avec HTML appliquer une présentation CSS afficher les informations nécessaires sélectionner et manipuler les éléments réagir aux actions utilisateur modifier dynamiquement l’interface observer corriger et vérifier.","DWB-M108-C.122"
"C.112","","Modéliser les données","DWB-M106","Modéliser les données nécessaires à un périmètre fonctionnel défini afin de produire une représentation structurée et cohérente exploitable pour préparer son implémentation.","DWB-M106-C.112"
"C.111","","Analyser un besoin existant","DWB-M106","Analyser un besoin logiciel fourni afin d’identifier les acteurs les actions les fonctionnalités et les comportements attendus d’un périmètre fonctionnel défini.","DWB-M106-C.111"
"C.121","","Construire le traitement logique","DWB-M105","Identifier les données et résultats attendus décomposer les étapes construire des traitements séquentiels conditionnels répétitifs avec tableaux collections et fonctions simples combiner des traitements exécuter observer comparer corriger et vérifier.","DWB-M105-C.121"
"C.131","","Vérifier une solution","DWB-M109","Vérifier manuellement qu’une fonctionnalité produit le comportement attendu identifier et décrire une anomalie simple reproduire le problème dans les mêmes conditions vérifier une correction simple et signaler un problème dépassant son niveau d’intervention.","DWB-M109-C.131"
"C.161","","Veille technologique","DWB-M111","","DWB-M111-C.161"
"C.141","","Mettre une application en service localement","DWB-M112","Mettre une application Web en service dans un environnement local connu en suivant une procédure définie. Identifier les prérequis vérifier le serveur Web PHP et la base de données placer les fichiers appliquer les paramètres démarrer les services accéder à l’application vérifier son fonctionnement appliquer une correction connue et signaler un problème dépassant son autonomie.","DWB-M112-C.141"
"C.152","","Organiser et rendre visible son travail","DWB-M107","Comprendre l’objectif d’une tâche identifier le résultat attendu la décomposer en étapes simples déterminer un ordre logique suivre les étapes réalisées et restantes mettre à jour l’avancement identifier et signaler une difficulté rendre compte du travail réalisé et de l’état final.","DWB-M107-C152"
"C.151","","Versionner son propre travail","DWB-M107","Cloner ou initialiser un dépôt identifier l’état des fichiers préparer les modifications créer des commits cohérents rédiger des messages explicites consulter l’historique récupérer et envoyer des modifications retrouver une version antérieure reprendre le travail dans un autre environnement et vérifier la synchronisation.","DWB-M107-C.151"
"C.125","","Structurer et déboguer une solution","DWB-M108","Structurer progressivement le code d’une solution Web et utiliser les outils de débogage pour suivre son exécution observer les variables localiser les problèmes simples et appliquer des corrections adaptées au niveau N1.","DWB-M108-C.125"
"C.124","","Exploiter les données","DWB-M109","Identifier les tables clés et relations écrire des requêtes SQL simples sélectionner filtrer trier récupérer des données liées exploiter les résultats en PHP alimenter une fonctionnalité identifier et corriger une erreur simple puis vérifier le résultat.","DWB-M109-C.124"
"C.123","","Réaliser le traitement serveur","DWB-M109","Identifier les tables clés et relations écrire des requêtes SQL simples sélectionner filtrer trier récupérer des données liées exploiter les résultats en PHP alimenter une fonctionnalité identifier et corriger une erreur simple puis vérifier le résultat.","DWB-M109-C.123"
