"ordre","code","titre","sous_titre","competence_reference","lien","description","reference"
"1","D.162.1","Apprendre avec la pédagogie active","","DWB-M105-C.162","","<div>S'approprier les principes de la pédagogie active, l'apprentissage par projets&nbsp;</div><div>&nbsp; et le travail par les pairs afin de développer son autonomie, structurer sa&nbsp;</div><div>&nbsp; démarche de résolution de problèmes et progresser efficacement au sein de Solicode.</div>","DWB-D.162.1"
"2","D.161.1","Technologies de développement","","DWB-M111-C.161","","","DWB-D.161.1"
"3","D.111.1","Analyser et formaliser un besoin fonctionnel existant","","DWB-M106-C.111","","Analyser un besoin existant afin d’identifier la finalité générale de l’application, son contexte et son périmètre, de repérer les acteurs et leurs rôles, de déterminer leurs actions et de regrouper ces actions en fonctionnalités cohérentes du système.","DWB-D.111.1"
"4","D.112.1","Modéliser les données","","DWB-M106-C.112","","Structurer les données nécessaires au fonctionnement d’une application en les identifiant, en les décrivant et en déterminant leurs dépendances, puis en les organisant sous forme d’entités, de relations et de tables à travers le MCD et le MLD.","DWB-D.112.1"
"5","D.121.1","Construire le traitement logique","","DWB-M105-C.121","","Construire des traitements JavaScript permettant de manipuler des valeurs, contrôler l’exécution, traiter des collections, réutiliser des fonctions et combiner plusieurs structures de programmation pour résoudre des problèmes algorithmiques simples.","DWB-D.121.1"
"6","D.122.1","Structurer une interface avec HTML","","DWB-M108-C.122","","Construire une interface HTML correctement structurée à partir d’une conception existante en organisant le squelette de la page, les contenus, les zones sémantiques, les ensembles répétitifs et les éléments nécessaires à la saisie et à l’envoi de données.","DWB-D.122.1"
"7","D.122.2","Mettre en forme une interface avec CSS","","DWB-M108-C.122","","Construire une interface Web correctement mise en forme à partir d’une conception existante en appliquant des règles CSS, en maîtrisant les dimensions et les espacements, en organisant les éléments, en harmonisant leur présentation et en adaptant l’interface aux différentes tailles d’écran.","DWB-D.122.2"
"8","D.122.3","Rendre l’interface interactive avec JavaScript","","DWB-M108-C.122","","Construire une interface Web interactive en utilisant JavaScript pour exécuter des traitements simples, sélectionner et modifier les éléments du DOM, gérer les événements utilisateur, contrôler les données saisies et combiner plusieurs interactions.","DWB-D.122.3"
"9","D.123.1","Programmer des traitements serveur avec PHP","","DWB-M109-C.123","","<div>""Réaliser des traitements PHP permettant d’exécuter des traitements côté serveur, manipuler des données, contrôler leur traitement, recevoir des données d’une requête Web et organiser plusieurs opérations dans un traitement serveur cohérent.</div><div>""</div>","DWB-D.123.1"
"10","D.124.1","Interroger une base de données avec SQL","","DWB-M109-C.124","","<div>""Exploiter les données d’une base de données en créant sa structure à partir du MLD, en sélectionnant, filtrant, triant et limitant les données avec des requêtes SQL, puis en combinant et corrigeant des requêtes simples afin d’obtenir les résultats attendus.</div><div>""</div>","DWB-D.124.1"
"11","D.124.2","Exploiter les résultats et les données dans l’application","","DWB-M109-C.124","","Exploiter les résultats produits par les requêtes SQL dans PHP afin de les utiliser dans l’application, de les afficher dans l’interface, de traiter des critères de recherche, d’exploiter des données issues de tables liées et de vérifier et corriger les problèmes simples rencontrés.","DWB-D.124.2"
"12","D.125.1","Structurer le code","","DWB-M108-C.125","","Structurer une solution Web en organisant les fichiers, les ressources, les traitements serveur, l’accès aux données et les différents espaces de l’application selon leur rôle.","DWB-D.125.1"
"13","D.125.2","Déboguer et résoudre les erreurs","","DWB-M108-C.125","","Utiliser le débogage pour observer l’exécution d’un programme, localiser une partie de code responsable d’un problème, appliquer une correction ciblée et vérifier le bon fonctionnement du traitement.","DWB-D.125.2"
"14","D.131.1","Vérifier le fonctionnement d’une solution","","DWB-M109-C.131","","Vérifier qu’une fonctionnalité produit le résultat attendu et contrôler, après modification, que les fonctionnalités existantes continuent de produire les résultats attendus.","DWB-D.131.1"
"15","D.141.1","Déployer une application Web dans un environnement local","","DWB-M112-C.141","","Mettre une application Web en service dans un environnement local connu en préparant les éléments nécessaires à son exécution et en vérifiant son accessibilité, son fonctionnement et son accès aux données.","DWB-D.141.1"
"16","D.151.1","Versionner et synchroniser son travail avec Git","","DWB-M107-C.151","","Utiliser Git et GitHub pour enregistrer, consulter, retrouver, synchroniser et récupérer son travail afin de conserver un historique exploitable et un projet récupérable.","DWB-D.151.1"
"17","D.152.2","Organiser et rendre visible son travail","","DWB-M107-C152","","Organiser et suivre une tâche technique simple afin de réaliser le travail dans le temps disponible, rendre son état visible, signaler les difficultés et rendre compte de la contribution réalisée.","DWB-D.152.2"
